server_generation,latency_sensitivity,time_step,capacity,demand
CPU.S1,low,1,2052.6639634577664,2286.0
CPU.S1,medium,1,9286.0,9286.0
CPU.S1,high,1,6144.0,6144.0
CPU.S2,low,1,0.0,0.0
CPU.S2,medium,1,0.0,0.0
CPU.S2,high,1,0.0,0.0
CPU.S3,low,1,0.0,0.0
CPU.S3,medium,1,0.0,0.0
CPU.S3,high,1,0.0,0.0
CPU.S4,low,1,0.0,0.0
CPU.S4,medium,1,0.0,0.0
CPU.S4,high,1,0.0,0.0
GPU.S1,low,1,9.0,9.0
GPU.S1,medium,1,1.0,1.0
GPU.S1,high,1,43.0,43.0
GPU.S2,low,1,0.0,0.0
GPU.S2,medium,1,0.0,0.0
GPU.S2,high,1,0.0,0.0
GPU.S3,low,1,0.0,0.0
GPU.S3,medium,1,0.0,0.0
GPU.S3,high,1,0.0,0.0
CPU.S1,low,2,2149.5149096980817,3269.0
CPU.S1,medium,2,18557.0,18557.0
CPU.S1,high,2,12818.0,12818.0
CPU.S2,low,2,0.0,0.0
CPU.S2,medium,2,0.0,0.0
CPU.S2,high,2,0.0,0.0
CPU.S3,low,2,0.0,0.0
CPU.S3,medium,2,0.0,0.0
CPU.S3,high,2,0.0,0.0
CPU.S4,low,2,0.0,0.0
CPU.S4,medium,2,0.0,0.0
CPU.S4,high,2,0.0,0.0
GPU.S1,low,2,16.0,16.0
GPU.S1,medium,2,7.0,7.0
GPU.S1,high,2,94.0,94.0
GPU.S2,low,2,0.0,0.0
GPU.S2,medium,2,0.0,0.0
GPU.S2,high,2,0.0,0.0
GPU.S3,low,2,0.0,0.0
GPU.S3,medium,2,0.0,0.0
GPU.S3,high,2,0.0,0.0
CPU.S1,low,3,2179.0,2179.0
CPU.S1,medium,3,27645.0,27645.0
CPU.S1,high,3,17707.0,17707.0
CPU.S2,low,3,0.0,0.0
CPU.S2,medium,3,0.0,0.0
CPU.S2,high,3,0.0,0.0
CPU.S3,low,3,0.0,0.0
CPU.S3,medium,3,0.0,0.0
CPU.S3,high,3,0.0,0.0
CPU.S4,low,3,0.0,0.0
CPU.S4,medium,3,0.0,0.0
